forward_joules,forward_time,forward_flops,forward_backward_optimizer_joules,forward_backward_optimizer_time,forward_backward_optimizer_flops,forward_backward_joules,forward_backward_time,forward_backward_flops,num_trainable_parameters,model_name,input_length,batch_size,rank,rep
2367.51333,6.533,10124823615488,7952.15626,22.584,30374901053440,7184.17785,19.361,30374901053440,1235814400,meta-llama/Llama-3.2-1B,256,16,-1,0
3557.39728,10.222,16037785622528,10125.83874,27.768,37881989552128,8678.36682,25.862,37881989552128,721420288,meta-llama/Llama-3.2-1B,256,16,1024,0
3082.57465,8.946,13082848122880,8172.71244,23.14,29042946856960,7442.97745,22.2,29042946856960,360710144,meta-llama/Llama-3.2-1B,256,16,512,0
2918.69934,8.418,11605379373056,7241.69544,20.853,24623425509376,6787.20209,20.416,24623425509376,180355072,meta-llama/Llama-3.2-1B,256,16,256,0
2822.57752,8.292,10866644998144,6876.80423,20.137,22413664835584,6587.21038,19.857,22413664835584,90177536,meta-llama/Llama-3.2-1B,256,16,128,0
2764.41721,8.134,10497277810688,6667.82255,19.605,21308784498688,6526.42929,19.486,21308784498688,45088768,meta-llama/Llama-3.2-1B,256,16,64,0
2756.67197,8.047,10312594216960,6572.94024,19.389,20756344330240,6377.55747,19.264,20756344330240,22544384,meta-llama/Llama-3.2-1B,256,16,32,0
2768.5517,8.059,10220252420096,6552.81864,19.597,20480124246016,6446.91908,19.466,20480124246016,11272192,meta-llama/Llama-3.2-1B,256,16,16,0
2761.89534,8.045,10174081521664,6589.02838,19.471,20342014203904,6386.16914,19.384,20342014203904,5636096,meta-llama/Llama-3.2-1B,256,16,8,0
2796.78571,8.208,10150996072448,6632.47673,19.835,20272959182848,6477.15971,19.779,20272959182848,2818048,meta-llama/Llama-3.2-1B,256,16,4,0
2768.5848,8.186,10139453347840,6595.15652,19.799,20238431672320,6470.46683,19.775,20238431672320,1409024,meta-llama/Llama-3.2-1B,256,16,2,0
2769.83114,8.026,10133681985536,6524.88548,19.117,20221167917056,6369.21362,19.084,20221167917056,704512,meta-llama/Llama-3.2-1B,256,16,1,0
1804.68202,4.899,7593617740800,6180.9889,17.933,22781241486336,5410.11185,14.713,22781241486336,1235814400,meta-llama/Llama-3.2-1B,256,12,-1,0
2623.27721,7.349,12028339246080,7504.61408,20.911,28411492193280,6393.24212,18.974,28411492193280,721420288,meta-llama/Llama-3.2-1B,256,12,1024,0
2326.47785,6.632,9812136121344,6049.75944,17.503,21782210171904,5525.60147,16.511,21782210171904,360710144,meta-llama/Llama-3.2-1B,256,12,512,0
2178.83574,6.342,8704034558976,5370.06759,15.788,18467569161216,5065.25468,15.31,18467569161216,180355072,meta-llama/Llama-3.2-1B,256,12,256,0
2106.59037,6.236,8149983777792,5066.72117,15.164,16810248655872,4821.28574,14.913,16810248655872,90177536,meta-llama/Llama-3.2-1B,256,12,128,0
2085.95529,6.118,7872958387200,4907.14195,14.802,15981588403200,4713.13444,14.671,15981588403200,45088768,meta-llama/Llama-3.2-1B,256,12,64,0
2083.35035,6.059,7734445691904,4832.43961,14.591,15567258276864,4609.12016,14.485,15567258276864,22544384,meta-llama/Llama-3.2-1B,256,12,32,0
2053.22952,6.076,7665189344256,4849.31611,14.838,15360093213696,4716.46857,14.747,15360093213696,11272192,meta-llama/Llama-3.2-1B,256,12,16,0
2047.12505,6.075,7630561170432,4831.92802,14.731,15256510682112,4706.02207,14.597,15256510682112,5636096,meta-llama/Llama-3.2-1B,256,12,8,0
2067.96425,6.135,7613247083520,4865.30672,14.846,15204719416320,4735.67988,14.772,15204719416320,2818048,meta-llama/Llama-3.2-1B,256,12,4,0
