forward_joules,forward_energy_mean,forward_time,forward_nvidia_time_mean,forward_memory,forward_nvidia_memory_mean,forward_flops,forward_backward_joules,forward_backward_energy_mean,forward_backward_time,forward_backward_nvidia_time_mean,forward_backward_memory,forward_backward_nvidia_memory_mean,forward_backward_flops,forward_backward_optimizer_joules,forward_backward_optimizer_energy_mean,forward_backward_optimizer_time,forward_backward_optimizer_nvidia_time_mean,forward_backward_optimizer_memory,forward_backward_optimizer_nvidia_memory_mean,forward_backward_optimizer_flops,num_trainable_parameters,model_name,input_length,batch_size,repetition,rank
3316.681,3316.681,8.725,8.725,9781.0,9781.0,12656029490176.0,9954.38137,9954.38137,25.964,25.964,23831.0,23831.0,37968560620544.0,10928.4133,10928.4133,29.577,29.577,26339.0,26339.0,37968560620544.0,1235814400,meta-llama/Llama-3.2-1B,256,20,0,-1
3900.50182,3900.50182,10.764,10.764,9835.0,9835.0,12667102452736.0,9130.67248,9130.67248,25.881,25.881,23231.0,23231.0,25276459867136.0,9302.51193,9302.51193,25.876,25.876,23233.0,23233.0,25276459867136.0,704512,meta-llama/Llama-3.2-1B,256,20,0,1
3913.55587,3913.55587,10.902,10.902,9837.0,9837.0,12674316655616.0,9252.32354,9252.32354,26.598,26.598,23235.0,23235.0,25298039561216.0,9443.68428,9443.68428,26.638,26.638,23239.0,23239.0,25298039561216.0,1409024,meta-llama/Llama-3.2-1B,256,20,0,2
3944.33569,3944.33569,10.931,10.931,9841.0,9841.0,12688745061376.0,9286.16867,9286.16867,26.629,26.629,23243.0,23243.0,25341198949376.0,9403.65026,9403.65026,26.662,26.662,23249.0,23249.0,25341198949376.0,2818048,meta-llama/Llama-3.2-1B,256,20,0,4
3868.5495,3868.5495,10.672,10.672,9843.0,9843.0,12717601872896.0,9295.43778,9295.43778,26.189,26.189,23259.0,23259.0,25427517725696.0,9258.33762,9258.33762,26.302,26.302,23271.0,23271.0,25427517725696.0,5636096,meta-llama/Llama-3.2-1B,256,20,0,8
3879.63712,3879.63712,10.791,10.791,9855.0,9855.0,12775315495936.0,9238.69927,9238.69927,26.325,26.325,23289.0,23289.0,25600155278336.0,9380.37141,9380.37141,26.397,26.397,23325.0,23325.0,25600155278336.0,11272192,meta-llama/Llama-3.2-1B,256,20,0,16
3876.99236,3876.99236,10.78,10.78,9877.0,9877.0,12890742742016.0,9100.09401,9100.09401,26.042,26.042,23353.0,23353.0,25945430383616.0,9407.03007,9407.03007,26.146,26.146,23431.0,23431.0,25945430383616.0,22544384,meta-llama/Llama-3.2-1B,256,20,0,32
3934.11874,3934.11874,10.911,10.911,9919.0,9919.0,13121597234176.0,9189.47491,9189.47491,26.311,26.311,23479.0,23479.0,26635980594176.0,9425.96874,9425.96874,26.432,26.432,23649.0,23649.0,26635980594176.0,45088768,meta-llama/Llama-3.2-1B,256,20,0,64
4004.08459,4004.08459,11.085,11.085,10039.0,10039.0,13583306218496.0,9456.2395,9456.2395,26.766,26.766,26105.0,26105.0,28017081015296.0,9766.5809,9766.5809,27.038,27.038,26323.0,26323.0,28017081015296.0,90177536,meta-llama/Llama-3.2-1B,256,20,0,128
4062.09517,4062.09517,11.163,11.163,10157.0,10157.0,14045015202816.0,9720.93078,9720.93078,27.1,27.1,26401.0,26401.0,29398181436416.0,10146.11072,10146.11072,27.459,27.459,26829.0,26829.0,29398181436416.0,135266304,meta-llama/Llama-3.2-1B,256,20,0,192
